,business_product_instance_id,cost,duration,number_of_sms,total_volume,event_type,event_id,date,direction,calling_msisdn,called_msisdn,roaming
143,24.0,0.0,63,0.0,0.0,call,33,2022-03-02,outcoming,-1,-1,False
145,24.0,0.0,73,0.0,0.0,call,34,2022-03-23,outcoming,-1,-1,False
146,24.0,0.0,70,0.0,0.0,call,35,2022-03-28,outcoming,-1,-1,True
147,24.0,0.0,34,0.0,0.0,call,36,2022-03-17,outcoming,-1,-1,False
156,24.0,0.0,14,0.0,0.0,call,37,2022-03-27,outcoming,-1,-1,False
157,24.0,0.0,94,0.0,0.0,call,38,2022-03-10,outcoming,-1,-1,False
158,24.0,0.0,69,0.0,0.0,call,39,2022-03-05,outcoming,-1,-1,False
159,24.0,0.0,13,0.0,0.0,call,40,2022-03-02,outcoming,-1,-1,False
165,24.0,0.0,28,0.0,0.0,call,41,2022-03-04,outcoming,-1,-1,False
169,24.0,0.0,12,0.0,0.0,call,42,2022-03-03,outcoming,-1,-1,False
171,24.0,0.0,48,0.0,0.0,call,43,2022-03-17,outcoming,-1,-1,False
175,24.0,0.0,99,0.0,0.0,call,44,2022-03-16,outcoming,-1,-1,False
182,24.0,0.0,25,0.0,0.0,call,45,2022-03-24,outcoming,-1,-1,True
184,24.0,0.0,42,0.0,0.0,call,46,2022-03-10,outcoming,-1,-1,False
185,24.0,0.0,85,0.0,0.0,call,47,2022-03-10,outcoming,-1,-1,False
193,24.0,0.0,90,0.0,0.0,call,48,2022-03-27,outcoming,-1,-1,False
196,24.0,0.0,88,0.0,0.0,call,49,2022-03-15,outcoming,-1,-1,True
198,24.0,0.0,28,0.0,0.0,call,50,2022-03-20,outcoming,-1,-1,False
199,24.0,0.0,83,0.0,0.0,call,51,2022-03-27,outcoming,-1,-1,False
203,24.0,0.0,43,0.0,0.0,call,52,2022-03-11,outcoming,-1,-1,False
205,24.0,0.0,43,0.0,0.0,call,53,2022-03-21,outcoming,-1,-1,False
206,24.0,0.0,70,0.0,0.0,call,54,2022-03-16,outcoming,-1,-1,False
210,24.0,0.0,40,0.0,0.0,call,55,2022-03-30,outcoming,-1,-1,False
214,24.0,0.0,50,0.0,0.0,call,56,2022-03-04,outcoming,-1,-1,False
219,24.0,0.0,24,0.0,0.0,call,57,2022-03-08,outcoming,-1,-1,False
221,24.0,0.0,13,0.0,0.0,call,58,2022-03-18,outcoming,-1,-1,False
222,24.0,0.0,95,0.0,0.0,call,59,2022-03-28,outcoming,-1,-1,False
226,24.0,0.0,81,0.0,0.0,call,60,2022-03-27,outcoming,-1,-1,True
231,24.0,0.0,56,0.0,0.0,call,61,2022-03-09,outcoming,-1,-1,False
234,24.0,0.0,59,0.0,0.0,call,62,2022-03-20,outcoming,-1,-1,False
237,24.0,0.0,70,0.0,0.0,call,63,2022-03-18,outcoming,-1,-1,False
242,24.0,0.0,77,0.0,0.0,call,64,2022-03-22,outcoming,-1,-1,False
258,24.0,0.0,62,0.0,0.0,call,65,2022-03-25,outcoming,-1,-1,False
262,24.0,0.0,69,0.0,0.0,call,66,2022-03-22,outcoming,-1,-1,False
264,24.0,0.0,60,0.0,0.0,call,67,2022-03-18,outcoming,-1,-1,False
265,24.0,0.0,94,0.0,0.0,call,68,2022-03-02,outcoming,-1,-1,True
277,24.0,0.0,39,0.0,0.0,call,69,2022-03-27,outcoming,-1,-1,False
280,24.0,0.0,41,0.0,0.0,call,70,2022-03-08,outcoming,-1,-1,False
283,24.0,0.0,61,0.0,0.0,call,71,2022-03-13,outcoming,-1,-1,False
290,24.0,0.0,67,0.0,0.0,call,72,2022-03-30,outcoming,-1,-1,False
304,24.0,0.0,52,0.0,0.0,call,73,2022-03-17,outcoming,-1,-1,False
312,24.0,0.0,17,0.0,0.0,call,74,2022-03-01,outcoming,-1,-1,False
319,24.0,0.0,98,0.0,0.0,call,75,2022-03-19,outcoming,-1,-1,False
320,24.0,0.0,38,0.0,0.0,call,76,2022-03-02,outcoming,-1,-1,False
323,24.0,0.0,19,0.0,0.0,call,77,2022-03-13,outcoming,-1,-1,False
328,24.0,0.0,47,0.0,0.0,call,78,2022-03-08,outcoming,-1,-1,False
332,24.0,0.0,42,0.0,0.0,call,79,2022-03-14,outcoming,-1,-1,False
333,24.0,0.0,62,0.0,0.0,call,80,2022-03-01,outcoming,-1,-1,False
339,24.0,0.0,79,0.0,0.0,call,81,2022-03-06,outcoming,-1,-1,False
340,24.0,0.0,18,0.0,0.0,call,82,2022-03-26,outcoming,-1,-1,False
341,24.0,0.0,97,0.0,0.0,call,83,2022-03-06,outcoming,-1,-1,False
343,24.0,0.0,7,0.0,0.0,call,84,2022-03-01,outcoming,-1,-1,False
346,24.0,0.0,18,0.0,0.0,call,85,2022-03-13,outcoming,-1,-1,True
356,24.0,0.0,77,0.0,0.0,call,86,2022-03-25,outcoming,-1,-1,False
359,24.0,0.0,12,0.0,0.0,call,87,2022-03-12,outcoming,-1,-1,False
360,24.0,0.0,73,0.0,0.0,call,88,2022-03-24,outcoming,-1,-1,False
361,24.0,0.0,65,0.0,0.0,call,89,2022-03-18,outcoming,-1,-1,False
372,24.0,0.0,99,0.0,0.0,call,90,2022-03-25,outcoming,-1,-1,False
373,24.0,0.0,63,0.0,0.0,call,91,2022-03-21,outcoming,-1,-1,False
374,24.0,0.0,9,0.0,0.0,call,92,2022-03-15,outcoming,-1,-1,True
377,24.0,0.0,69,0.0,0.0,call,93,2022-03-21,outcoming,-1,-1,True
379,24.0,0.0,93,0.0,0.0,call,94,2022-03-28,outcoming,-1,-1,False
384,24.0,0.0,80,0.0,0.0,call,95,2022-03-30,outcoming,-1,-1,False
393,24.0,0.0,67,0.0,0.0,call,96,2022-03-12,outcoming,-1,-1,False
396,24.0,0.0,86,0.0,0.0,call,97,2022-03-19,outcoming,-1,-1,False
404,24.0,0.0,39,0.0,0.0,call,98,2022-03-23,outcoming,-1,-1,False
407,24.0,0.0,54,0.0,0.0,call,99,2022-03-25,outcoming,-1,-1,False
408,24.0,0.0,71,0.0,0.0,call,100,2022-03-08,outcoming,-1,-1,False
409,24.0,0.0,62,0.0,0.0,call,101,2022-03-22,outcoming,-1,-1,False
416,24.0,0.0,21,0.0,0.0,call,102,2022-03-19,outcoming,-1,-1,False
423,24.0,0.0,43,0.0,0.0,call,103,2022-03-11,outcoming,-1,-1,False
431,24.0,0.0,96,0.0,0.0,call,104,2022-03-21,outcoming,-1,-1,True
432,24.0,0.0,81,0.0,0.0,call,105,2022-03-29,outcoming,-1,-1,True
436,24.0,0.0,28,0.0,0.0,call,106,2022-03-17,outcoming,-1,-1,False
437,24.0,0.0,13,0.0,0.0,call,107,2022-03-28,outcoming,-1,-1,False
442,24.0,0.0,97,0.0,0.0,call,108,2022-03-18,outcoming,-1,-1,False
448,24.0,0.0,92,0.0,0.0,call,109,2022-03-12,outcoming,-1,-1,True
452,24.0,0.0,48,0.0,0.0,call,110,2022-03-23,outcoming,-1,-1,False
456,24.0,0.0,48,0.0,0.0,call,111,2022-03-18,outcoming,-1,-1,False
457,24.0,0.0,86,0.0,0.0,call,112,2022-03-27,outcoming,-1,-1,False
460,24.0,0.0,99,0.0,0.0,call,113,2022-03-17,outcoming,-1,-1,False
467,24.0,0.0,75,0.0,0.0,call,114,2022-03-22,outcoming,-1,-1,False
474,24.0,0.0,29,0.0,0.0,call,115,2022-03-15,outcoming,-1,-1,False
475,24.0,0.0,53,0.0,0.0,call,116,2022-03-17,outcoming,-1,-1,False
480,24.0,0.0,66,0.0,0.0,call,117,2022-03-29,outcoming,-1,-1,False
482,24.0,0.0,49,0.0,0.0,call,118,2022-03-12,outcoming,-1,-1,False
490,24.0,0.0,25,0.0,0.0,call,119,2022-03-11,outcoming,-1,-1,False
491,24.0,0.0,63,0.0,0.0,call,120,2022-03-30,outcoming,-1,-1,False
493,24.0,0.0,89,0.0,0.0,call,121,2022-03-02,outcoming,-1,-1,False
494,24.0,0.0,3,0.0,0.0,call,122,2022-03-27,outcoming,-1,-1,False
499,24.0,0.0,36,0.0,0.0,call,123,2022-03-07,outcoming,-1,-1,False
505,24.0,0.0,96,0.0,0.0,call,124,2022-03-19,outcoming,-1,-1,False
507,24.0,0.0,13,0.0,0.0,call,125,2022-03-10,outcoming,-1,-1,False
514,24.0,0.0,91,0.0,0.0,call,126,2022-03-25,outcoming,-1,-1,False
516,24.0,0.0,69,0.0,0.0,call,127,2022-03-01,outcoming,-1,-1,False
519,24.0,0.0,85,0.0,0.0,call,128,2022-03-06,outcoming,-1,-1,False
521,24.0,0.0,27,0.0,0.0,call,129,2022-03-23,outcoming,-1,-1,False
525,24.0,0.0,24,0.0,0.0,call,130,2022-03-28,outcoming,-1,-1,False
526,24.0,0.0,60,0.0,0.0,call,131,2022-03-14,outcoming,-1,-1,False
535,24.0,0.0,18,0.0,0.0,call,132,2022-03-25,outcoming,-1,-1,False
543,24.0,0.0,86,0.0,0.0,call,133,2022-03-06,outcoming,-1,-1,False
544,24.0,0.0,80,0.0,0.0,call,134,2022-03-30,outcoming,-1,-1,True
553,24.0,0.0,16,0.0,0.0,call,135,2022-03-01,outcoming,-1,-1,False
556,24.0,0.0,87,0.0,0.0,call,136,2022-03-22,outcoming,-1,-1,False
557,24.0,0.0,48,0.0,0.0,call,137,2022-03-03,outcoming,-1,-1,False
560,24.0,0.0,4,0.0,0.0,call,138,2022-03-28,outcoming,-1,-1,False
561,24.0,0.0,33,0.0,0.0,call,139,2022-03-25,outcoming,-1,-1,False
567,24.0,0.0,88,0.0,0.0,call,140,2022-03-29,outcoming,-1,-1,False
568,24.0,0.0,95,0.0,0.0,call,141,2022-03-02,outcoming,-1,-1,False
578,24.0,0.0,35,0.0,0.0,call,142,2022-03-15,outcoming,-1,-1,False
579,24.0,0.0,39,0.0,0.0,call,143,2022-03-23,outcoming,-1,-1,False
584,24.0,0.0,67,0.0,0.0,call,144,2022-03-22,outcoming,-1,-1,False
587,24.0,0.0,34,0.0,0.0,call,145,2022-03-26,outcoming,-1,-1,True
588,24.0,0.0,6,0.0,0.0,call,146,2022-03-07,outcoming,-1,-1,False
589,24.0,0.0,58,0.0,0.0,call,147,2022-03-27,outcoming,-1,-1,False
599,24.0,0.0,46,0.0,0.0,call,148,2022-03-12,outcoming,-1,-1,False
606,24.0,0.0,97,0.0,0.0,call,149,2022-03-17,outcoming,-1,-1,False
608,24.0,0.0,39,0.0,0.0,call,150,2022-03-27,outcoming,-1,-1,False
617,24.0,0.0,45,0.0,0.0,call,151,2022-03-11,outcoming,-1,-1,False
618,24.0,0.0,91,0.0,0.0,call,152,2022-03-26,outcoming,-1,-1,False
621,24.0,0.0,64,0.0,0.0,call,153,2022-03-13,outcoming,-1,-1,False
624,24.0,0.0,29,0.0,0.0,call,154,2022-03-21,outcoming,-1,-1,False
630,24.0,0.0,50,0.0,0.0,call,155,2022-03-08,outcoming,-1,-1,False
631,24.0,0.0,37,0.0,0.0,call,156,2022-03-13,outcoming,-1,-1,False
633,24.0,0.0,42,0.0,0.0,call,157,2022-03-22,outcoming,-1,-1,False
644,24.0,0.0,65,0.0,0.0,call,158,2022-03-13,outcoming,-1,-1,False
648,24.0,0.0,4,0.0,0.0,call,159,2022-03-24,outcoming,-1,-1,False
653,24.0,0.0,69,0.0,0.0,call,160,2022-03-06,outcoming,-1,-1,False
658,24.0,0.0,4,0.0,0.0,call,161,2022-03-27,outcoming,-1,-1,False
669,24.0,0.0,13,0.0,0.0,call,162,2022-03-09,outcoming,-1,-1,False
671,24.0,0.0,89,0.0,0.0,call,163,2022-03-27,outcoming,-1,-1,False
674,24.0,0.0,13,0.0,0.0,call,164,2022-03-10,outcoming,-1,-1,False
675,24.0,0.0,26,0.0,0.0,call,165,2022-03-22,outcoming,-1,-1,False
679,24.0,0.0,45,0.0,0.0,call,166,2022-03-03,outcoming,-1,-1,False
681,24.0,0.0,47,0.0,0.0,call,167,2022-03-16,outcoming,-1,-1,False
690,24.0,0.0,86,0.0,0.0,call,168,2022-03-19,outcoming,-1,-1,True
693,24.0,0.0,96,0.0,0.0,call,169,2022-03-01,outcoming,-1,-1,False
694,24.0,0.0,77,0.0,0.0,call,170,2022-03-30,outcoming,-1,-1,False
695,24.0,0.0,42,0.0,0.0,call,171,2022-03-20,outcoming,-1,-1,True
704,24.0,0.0,95,0.0,0.0,call,172,2022-03-28,outcoming,-1,-1,False
710,24.0,0.0,4,0.0,0.0,call,173,2022-03-09,outcoming,-1,-1,False
713,24.0,0.0,40,0.0,0.0,call,174,2022-03-11,outcoming,-1,-1,False
716,24.0,0.0,59,0.0,0.0,call,175,2022-03-21,outcoming,-1,-1,False
718,24.0,0.0,10,0.0,0.0,call,176,2022-03-06,outcoming,-1,-1,False
725,24.0,0.0,42,0.0,0.0,call,177,2022-03-20,outcoming,-1,-1,False
730,24.0,0.0,73,0.0,0.0,call,178,2022-03-26,outcoming,-1,-1,False
732,24.0,0.0,41,0.0,0.0,call,179,2022-03-13,outcoming,-1,-1,False
734,24.0,0.0,75,0.0,0.0,call,180,2022-03-13,outcoming,-1,-1,False
741,24.0,0.0,49,0.0,0.0,call,181,2022-03-18,outcoming,-1,-1,False
742,24.0,0.0,9,0.0,0.0,call,182,2022-03-28,outcoming,-1,-1,False
743,24.0,0.0,38,0.0,0.0,call,183,2022-03-13,outcoming,-1,-1,False
752,24.0,0.0,95,0.0,0.0,call,184,2022-03-08,outcoming,-1,-1,False
755,24.0,0.0,15,0.0,0.0,call,185,2022-03-21,outcoming,-1,-1,False
759,24.0,0.0,36,0.0,0.0,call,186,2022-03-24,outcoming,-1,-1,False
762,24.0,0.0,23,0.0,0.0,call,187,2022-03-14,outcoming,-1,-1,False
763,24.0,0.0,17,0.0,0.0,call,188,2022-03-16,outcoming,-1,-1,False
773,24.0,0.0,93,0.0,0.0,call,189,2022-03-11,outcoming,-1,-1,True
774,24.0,0.0,98,0.0,0.0,call,190,2022-03-20,outcoming,-1,-1,False
777,24.0,0.0,4,0.0,0.0,call,191,2022-03-29,outcoming,-1,-1,False
779,24.0,0.0,62,0.0,0.0,call,192,2022-03-05,outcoming,-1,-1,True
782,24.0,0.0,46,0.0,0.0,call,193,2022-03-14,outcoming,-1,-1,False
784,24.0,0.0,28,0.0,0.0,call,194,2022-03-05,outcoming,-1,-1,True
794,24.0,0.0,75,0.0,0.0,call,195,2022-03-10,outcoming,-1,-1,False
802,24.0,0.0,80,0.0,0.0,call,196,2022-03-01,outcoming,-1,-1,False
803,24.0,0.0,51,0.0,0.0,call,197,2022-03-12,outcoming,-1,-1,False
806,24.0,0.0,57,0.0,0.0,call,198,2022-03-30,outcoming,-1,-1,False
817,24.0,0.0,27,0.0,0.0,call,199,2022-03-05,outcoming,-1,-1,False
825,24.0,0.0,46,0.0,0.0,call,200,2022-03-26,outcoming,-1,-1,False
826,24.0,0.0,45,0.0,0.0,call,201,2022-03-06,outcoming,-1,-1,False
832,24.0,0.0,18,0.0,0.0,call,202,2022-03-12,outcoming,-1,-1,False
837,24.0,0.0,3,0.0,0.0,call,203,2022-03-18,outcoming,-1,-1,False
845,24.0,0.0,78,0.0,0.0,call,204,2022-03-17,outcoming,-1,-1,False
851,24.0,0.0,18,0.0,0.0,call,205,2022-03-30,outcoming,-1,-1,False
869,24.0,0.0,65,0.0,0.0,call,206,2022-03-17,outcoming,-1,-1,False
871,24.0,0.0,93,0.0,0.0,call,207,2022-03-06,outcoming,-1,-1,False
875,24.0,0.0,87,0.0,0.0,call,208,2022-03-09,outcoming,-1,-1,False
877,24.0,0.0,29,0.0,0.0,call,209,2022-03-07,outcoming,-1,-1,False
883,24.0,0.0,36,0.0,0.0,call,210,2022-03-20,outcoming,-1,-1,False
886,24.0,0.0,73,0.0,0.0,call,211,2022-03-24,outcoming,-1,-1,False
891,24.0,0.0,44,0.0,0.0,call,212,2022-03-15,outcoming,-1,-1,False
898,24.0,0.0,74,0.0,0.0,call,213,2022-03-09,outcoming,-1,-1,True
902,24.0,0.0,79,0.0,0.0,call,214,2022-03-01,outcoming,-1,-1,False
903,24.0,0.0,18,0.0,0.0,call,215,2022-03-05,outcoming,-1,-1,False
904,24.0,0.0,59,0.0,0.0,call,216,2022-03-06,outcoming,-1,-1,False
905,24.0,0.0,95,0.0,0.0,call,217,2022-03-12,outcoming,-1,-1,True
909,24.0,0.0,43,0.0,0.0,call,218,2022-03-18,outcoming,-1,-1,False
911,24.0,0.0,49,0.0,0.0,call,219,2022-03-02,outcoming,-1,-1,False
912,24.0,0.0,69,0.0,0.0,call,220,2022-03-04,outcoming,-1,-1,False
916,24.0,0.0,52,0.0,0.0,call,221,2022-03-05,outcoming,-1,-1,False
3616,25.0,0.0,20,0.0,0.0,call,222,2022-03-24,outcoming,-1,-1,False
3618,25.0,0.0,40,0.0,0.0,call,223,2022-03-07,outcoming,-1,-1,False
3620,25.0,0.0,81,0.0,0.0,call,224,2022-03-10,outcoming,-1,-1,False
3622,25.0,0.0,73,0.0,0.0,call,225,2022-03-10,outcoming,-1,-1,False
3623,25.0,0.0,13,0.0,0.0,call,226,2022-03-25,outcoming,-1,-1,True
3624,24.0,0.0,32,0.0,0.0,call,227,2022-03-02,outcoming,-1,-1,False
3625,25.0,0.0,53,0.0,0.0,call,228,2022-03-02,outcoming,-1,-1,False
3626,25.0,0.0,76,0.0,0.0,call,229,2022-03-11,outcoming,-1,-1,True
3628,25.0,0.0,81,0.0,0.0,call,230,2022-03-20,outcoming,-1,-1,False
3630,25.0,0.0,95,0.0,0.0,call,231,2022-03-08,outcoming,-1,-1,False
3631,25.0,0.0,26,0.0,0.0,call,232,2022-03-27,outcoming,-1,-1,False
3632,25.0,0.0,34,0.0,0.0,call,233,2022-03-09,outcoming,-1,-1,False
3635,25.0,0.0,16,0.0,0.0,call,234,2022-03-17,outcoming,-1,-1,False
3636,24.0,0.0,78,0.0,0.0,call,235,2022-03-04,outcoming,-1,-1,False
3637,24.0,0.0,77,0.0,0.0,call,236,2022-03-25,outcoming,-1,-1,False
3638,25.0,0.0,57,0.0,0.0,call,237,2022-03-16,outcoming,-1,-1,False
3639,25.0,0.0,28,0.0,0.0,call,238,2022-03-30,outcoming,-1,-1,False
3640,24.0,0.0,19,0.0,0.0,call,239,2022-03-08,outcoming,-1,-1,False
3641,25.0,0.0,47,0.0,0.0,call,240,2022-03-29,outcoming,-1,-1,False
3643,24.0,0.0,95,0.0,0.0,call,241,2022-03-11,outcoming,-1,-1,False
3644,24.0,0.0,57,0.0,0.0,call,242,2022-03-07,outcoming,-1,-1,False
3645,25.0,0.0,31,0.0,0.0,call,243,2022-03-07,outcoming,-1,-1,False
3646,24.0,0.0,61,0.0,0.0,call,244,2022-03-13,outcoming,-1,-1,False
3647,25.0,0.0,94,0.0,0.0,call,245,2022-03-07,outcoming,-1,-1,False
3648,25.0,0.0,28,0.0,0.0,call,246,2022-03-16,outcoming,-1,-1,True
3649,25.0,0.0,58,0.0,0.0,call,247,2022-03-27,outcoming,-1,-1,False
3651,25.0,0.0,34,0.0,0.0,call,248,2022-03-05,outcoming,-1,-1,False
3652,25.0,0.0,87,0.0,0.0,call,249,2022-03-28,outcoming,-1,-1,False
3653,25.0,0.0,27,0.0,0.0,call,250,2022-03-20,outcoming,-1,-1,False
3654,24.0,0.0,34,0.0,0.0,call,251,2022-03-11,outcoming,-1,-1,False
3655,25.0,0.0,50,0.0,0.0,call,252,2022-03-01,outcoming,-1,-1,False
3657,25.0,0.0,83,0.0,0.0,call,253,2022-03-13,outcoming,-1,-1,True
3658,25.0,0.0,14,0.0,0.0,call,254,2022-03-19,outcoming,-1,-1,False
3659,25.0,0.0,97,0.0,0.0,call,255,2022-03-09,outcoming,-1,-1,False
3661,25.0,0.0,71,0.0,0.0,call,256,2022-03-23,outcoming,-1,-1,False
3664,25.0,0.0,41,0.0,0.0,call,257,2022-03-11,outcoming,-1,-1,False
3665,25.0,0.0,7,0.0,0.0,call,258,2022-03-17,outcoming,-1,-1,False
3667,24.0,0.0,55,0.0,0.0,call,259,2022-03-11,outcoming,-1,-1,False
3668,24.0,0.0,11,0.0,0.0,call,260,2022-03-10,outcoming,-1,-1,False
3669,25.0,0.0,76,0.0,0.0,call,261,2022-03-10,outcoming,-1,-1,False
3670,25.0,0.0,84,0.0,0.0,call,262,2022-03-01,outcoming,-1,-1,True
3671,24.0,0.0,18,0.0,0.0,call,263,2022-03-25,outcoming,-1,-1,False
3672,24.0,0.0,48,0.0,0.0,call,264,2022-03-06,outcoming,-1,-1,False
3673,25.0,0.0,16,0.0,0.0,call,265,2022-03-15,outcoming,-1,-1,False
3674,25.0,0.0,45,0.0,0.0,call,266,2022-03-17,outcoming,-1,-1,False
3675,25.0,0.0,96,0.0,0.0,call,267,2022-03-12,outcoming,-1,-1,False
3676,25.0,0.0,58,0.0,0.0,call,268,2022-03-25,outcoming,-1,-1,False
3677,25.0,0.0,60,0.0,0.0,call,269,2022-03-30,outcoming,-1,-1,False
3678,24.0,0.0,1,0.0,0.0,call,270,2022-03-03,outcoming,-1,-1,False
3679,25.0,0.0,80,0.0,0.0,call,271,2022-03-17,outcoming,-1,-1,False
3680,25.0,0.0,2,0.0,0.0,call,272,2022-03-26,outcoming,-1,-1,False
3681,25.0,0.0,82,0.0,0.0,call,273,2022-03-19,outcoming,-1,-1,True
3683,25.0,0.0,62,0.0,0.0,call,274,2022-03-03,outcoming,-1,-1,False
3684,25.0,0.0,6,0.0,0.0,call,275,2022-03-07,outcoming,-1,-1,False
3685,25.0,0.0,38,0.0,0.0,call,276,2022-03-29,outcoming,-1,-1,False
3686,24.0,0.0,95,0.0,0.0,call,277,2022-03-29,outcoming,-1,-1,False
3687,25.0,0.0,7,0.0,0.0,call,278,2022-03-18,outcoming,-1,-1,True
3689,25.0,0.0,99,0.0,0.0,call,279,2022-03-28,outcoming,-1,-1,False
3690,24.0,0.0,14,0.0,0.0,call,280,2022-03-09,outcoming,-1,-1,False
3691,25.0,0.0,1,0.0,0.0,call,281,2022-03-18,outcoming,-1,-1,True
3692,25.0,0.0,16,0.0,0.0,call,282,2022-03-13,outcoming,-1,-1,False
3693,25.0,0.0,11,0.0,0.0,call,283,2022-03-03,outcoming,-1,-1,True
3694,24.0,0.0,64,0.0,0.0,call,284,2022-03-29,outcoming,-1,-1,False
3695,25.0,0.0,97,0.0,0.0,call,285,2022-03-03,outcoming,-1,-1,False
3696,25.0,0.0,17,0.0,0.0,call,286,2022-03-16,outcoming,-1,-1,False
3697,25.0,0.0,17,0.0,0.0,call,287,2022-03-25,outcoming,-1,-1,False
3698,25.0,0.0,69,0.0,0.0,call,288,2022-03-16,outcoming,-1,-1,False
3699,24.0,0.0,26,0.0,0.0,call,289,2022-03-21,outcoming,-1,-1,False
3700,24.0,0.0,4,0.0,0.0,call,290,2022-03-13,outcoming,-1,-1,False
3701,25.0,0.0,59,0.0,0.0,call,291,2022-03-14,outcoming,-1,-1,False
3702,25.0,0.0,31,0.0,0.0,call,292,2022-03-27,outcoming,-1,-1,False
3703,24.0,0.0,74,0.0,0.0,call,293,2022-03-25,outcoming,-1,-1,False
3704,25.0,0.0,49,0.0,0.0,call,294,2022-03-19,outcoming,-1,-1,False
3705,24.0,0.0,72,0.0,0.0,call,295,2022-03-19,outcoming,-1,-1,False
3706,25.0,0.0,45,0.0,0.0,call,296,2022-03-25,outcoming,-1,-1,False
3707,25.0,0.0,98,0.0,0.0,call,297,2022-03-09,outcoming,-1,-1,False
3709,24.0,0.0,30,0.0,0.0,call,298,2022-03-15,outcoming,-1,-1,False
3710,25.0,0.0,44,0.0,0.0,call,299,2022-03-16,outcoming,-1,-1,False
3712,24.0,0.0,44,0.0,0.0,call,300,2022-03-24,outcoming,-1,-1,False
3713,25.0,0.0,83,0.0,0.0,call,301,2022-03-09,outcoming,-1,-1,False
3714,24.0,0.0,12,0.0,0.0,call,302,2022-03-24,outcoming,-1,-1,False
3715,25.0,0.0,43,0.0,0.0,call,303,2022-03-21,outcoming,-1,-1,False
3716,25.0,0.0,58,0.0,0.0,call,304,2022-03-13,outcoming,-1,-1,False
3717,24.0,0.0,11,0.0,0.0,call,305,2022-03-16,outcoming,-1,-1,False
3724,24.0,0.0,89,0.0,0.0,call,306,2022-03-20,outcoming,-1,-1,True
3725,24.0,0.0,82,0.0,0.0,call,307,2022-03-27,outcoming,-1,-1,False
3734,24.0,0.0,73,0.0,0.0,call,308,2022-03-24,outcoming,-1,-1,False
3736,24.0,0.0,86,0.0,0.0,call,309,2022-03-15,outcoming,-1,-1,False
3743,24.0,0.0,39,0.0,0.0,call,310,2022-03-28,outcoming,-1,-1,False
3745,24.0,0.0,26,0.0,0.0,call,311,2022-03-25,outcoming,-1,-1,False
3751,24.0,0.0,79,0.0,0.0,call,312,2022-03-29,outcoming,-1,-1,False
